Namespace;Enumeration name;Enumeration literal;Designation;Definition;Origin;Original code
Parking;ActivityEnum;camping;Camping;Camping.;;
Parking;ActivityEnum;handlingHazardousMaterial;Handling hazardous material;Handling with hazardous material.;;
Parking;ActivityEnum;openFire;Open fire;Open fire.;;
Parking;ActivityEnum;other;Other;Other.;;
Parking;ActivityEnum;overnightParking;Overnight parking;Overnight parking.;;
Parking;ActivityEnum;picnic;Picnic;Picnic.;;
Parking;ActivityEnum;smoking;Smoking;Smoking.;;
LocationExtension;AddressLineTypeEnum;apartment;Apartment;Element indicating a discrete element of a building forming the address;;
LocationExtension;AddressLineTypeEnum;building;Building;Element identifying the number or name and type of the edifice or construction relevant for the address [derived from ISO19160-4];;
LocationExtension;AddressLineTypeEnum;districtTerritory;District territory;Element specifying the geographic or administrative area of the country for the address [Source: 19160-4];;
LocationExtension;AddressLineTypeEnum;floor;Floor;Element indicating the floor or level on which a delivery point is located in a multi-storey building [Source:ISO19160-4];;
LocationExtension;AddressLineTypeEnum;generalTextLine;General text line;A non-predefined text line for general purpose.;;
LocationExtension;AddressLineTypeEnum;houseNumber;House number;Element indicating a house number;;
LocationExtension;AddressLineTypeEnum;poBox;PO box;A postal delivery location identifier, not necessarily a physical location.;;
LocationExtension;AddressLineTypeEnum;region;Region;Element indicating the name of the area within or adjacent to the town in which delivery address is.;;
LocationExtension;AddressLineTypeEnum;street;Street;Element indicating road or street identifier or name ;;
LocationExtension;AddressLineTypeEnum;town;Town;Element indicating the name of the populated place in which a delivery point is located, or near to or via which the delivery point is accessed. [Source: ISO19160-4];;
LocationExtension;AddressLineTypeEnum;unit;Unit;An element representing a section of a building or organisation.;;
LocationReferencing;AlertCDirectionEnum;negative;Negative;The direction of navigation in an ALERT-C table that corresponds to the negative offset usage to go from the secondary location to the primary location within the ALERT-C location table.;;
LocationReferencing;AlertCDirectionEnum;positive;Positive;The direction of navigation in an ALERT-C table that corresponds to the positive offset usage to go from the secondary location to the primary location within the ALERT-C location table.;;
LocationReferencing;AltitudeAccuracyEnum;equalToOrLessThan100Metres;Equal to or less than 100 metres;Indicates if the altitude accuracy is equal to or less than 100 metres;;
LocationReferencing;AltitudeAccuracyEnum;equalToOrLessThan10Centimetres;Equal to or less than 10 centimetres;Indicates if the altitude accuracy is equal to or less than 10 centimetres;;
LocationReferencing;AltitudeAccuracyEnum;equalToOrLessThan10Metres;Equal to or less than 10 metres;Indicates if the altitude accuracy is equal to or less than 10 metres;;
LocationReferencing;AltitudeAccuracyEnum;equalToOrLessThan1Centimetre;Equal to or less than 1 centimetre;Indicates if the altitude accuracy is equal to or less than 1 centimetre;;
LocationReferencing;AltitudeAccuracyEnum;equalToOrLessThan1Metre;Equal to or less than 1 metre;Indicates if the altitude accuracy is equal to or less than 1 metre;;
