Namespace;Enumeration name;Enumeration literal;Designation;Definition;Origin;Original code
Facilities;EnergySourceEnum;methane;Methane;Methane gas.;;
Facilities;EnergySourceEnum;other;Other;Other.;;
Facilities;EnergySourceEnum;petrol;Petrol;Fuel used for positive-ignition (PI) engines.;;
Facilities;EnergySourceEnum;petrol95Octane;Petrol 95 octane;Petrol with 95 octane.;;
Facilities;EnergySourceEnum;petrol98Octane;Petrol 98 octane;Petrol with 98 octane.;;
Facilities;EnergySourceEnum;petrolBatteryHybrid;Petrol battery hybrid;Petrol and battery hybrid.;;
Facilities;EnergySourceEnum;petrolLeaded;Petrol leaded;Leaded petrol.;;
Facilities;EnergySourceEnum;petrolUnleaded;Petrol unleaded;Unleaded petrol.;;
Facilities;EnergySourceEnum;unknown;Unknown;The sort of fuel is not known.;;
Situation;EnvironmentalObstructionTypeEnum;avalanches;Avalanches;The road may be obstructed or partially obstructed due to snow slides.;;
Situation;EnvironmentalObstructionTypeEnum;earthquakeDamage;Earthquake damage;The road may be obstructed or partially obstructed because of damage caused by an earthquake.;;
Situation;EnvironmentalObstructionTypeEnum;fallenTrees;Fallen trees;The road is obstructed or partially obstructed by one or more fallen trees.;;
Situation;EnvironmentalObstructionTypeEnum;fallingIce;Falling ice;Falling ice off trees, power lines or structures which may cause traffic disruption.;;
Situation;EnvironmentalObstructionTypeEnum;fallingLightIceOrSnow;Falling light ice or snow;Falling light ice or snow off trees, power lines or structures which may cause traffic disruption.;;
Situation;EnvironmentalObstructionTypeEnum;flashFloods;Flash floods;The road may become quickly inundated by powerful floodwaters due to heavy rain nearby.;;
Situation;EnvironmentalObstructionTypeEnum;flooding;Flooding;The road is obstructed or partially obstructed by flood water.;;
Situation;EnvironmentalObstructionTypeEnum;forestFire;Forest fire;Traffic may be disrupted due to a forest fire adjacent to the roadway.;;
Situation;EnvironmentalObstructionTypeEnum;grassFire;Grass fire;Traffic may be disrupted due to a grass fire adjacent to the roadway.;;
Situation;EnvironmentalObstructionTypeEnum;landslips;Landslips;The road may be obstructed or partially obstructed due to landslides.;;
Situation;EnvironmentalObstructionTypeEnum;mudSlide;Mud slide;The road may be obstructed or partially obstructed due to mudslides.;;
Situation;EnvironmentalObstructionTypeEnum;other;Other;Other than as defined in this enumeration.;;
Situation;EnvironmentalObstructionTypeEnum;rockfalls;Rockfalls;The road may be obstructed or partially obstructed due to fallen rocks.;;
Situation;EnvironmentalObstructionTypeEnum;seriousFire;Serious fire;Traffic may be disrupted due to a fire (other than a vehicle fire) adjacent to the roadway.;;
Situation;EnvironmentalObstructionTypeEnum;sewerOverflow;Sewer overflow;The road is obstructed or partially obstructed by overflows from one or more sewers.;;
Situation;EnvironmentalObstructionTypeEnum;smokeOrFumes;Smoke or fumes;Smoke or fumes which may hinder driving conditions or distract drivers.;;
Situation;EnvironmentalObstructionTypeEnum;stormDamage;Storm damage;The road may be obstructed or partially obstructed by debris caused by strong winds.;;
Situation;EnvironmentalObstructionTypeEnum;subsidence;Subsidence;The road surface has sunken or collapsed in places.;;
Situation;EquipmentOrSystemFaultTypeEnum;notWorking;Not working;Not working or functioning.;;
Situation;EquipmentOrSystemFaultTypeEnum;outOfService;Out of service;Out of service (usually for operational reasons).;;
Situation;EquipmentOrSystemFaultTypeEnum;workingIncorrectly;Working incorrectly;Working incorrectly.;;
Situation;EquipmentOrSystemFaultTypeEnum;workingIntermittently;Working intermittently;Working intermittently.;;
Situation;EquipmentOrSystemTypeEnum;anprCameras;ANPR cameras;Automatic number plate recognition cameras.;;
Situation;EquipmentOrSystemTypeEnum;automatedTollSystem;Automated toll system;Automated toll system.;;
Situation;EquipmentOrSystemTypeEnum;cctvCameras;CCTV cameras;Closed-circuit television cameras.;;
Situation;EquipmentOrSystemTypeEnum;emergencyRoadsideTelephones;Emergency roadside telephones;Emergency roadside telephones.;;
Situation;EquipmentOrSystemTypeEnum;fireDetectionEquipment;Fire detection equipment;Fire detection equipment;;
Situation;EquipmentOrSystemTypeEnum;galleryLights;Gallery lights;Gallery lights.;;
Situation;EquipmentOrSystemTypeEnum;laneControlSigns;Lane control signs;Signs used to control lane usage (e.g. in tidal flow systems or hard shoulder running).;;
Situation;EquipmentOrSystemTypeEnum;levelCrossing;Level crossing;Level crossing (barriers and signals).;;
Situation;EquipmentOrSystemTypeEnum;matrixSigns;Matrix signs;Matrix signs. These normally comprise a symbol display area surrounded by four lights (usually amber) which flash when a symbol is displayed. ;;
Situation;EquipmentOrSystemTypeEnum;other;Other;Other than as defined in this enumeration.;;
Situation;EquipmentOrSystemTypeEnum;rampControls;Ramp controls;Ramp control equipment.;;
Situation;EquipmentOrSystemTypeEnum;roadsideCommunicationsSystem;Roadside communications system;Roadside communications system which is used by one or more roadside equipments or systems.;;
Situation;EquipmentOrSystemTypeEnum;roadsidePowerSystem;Roadside power system;Roadside power system which is used by one or more roadside equipments or systems.;;
Situation;EquipmentOrSystemTypeEnum;speedControlSigns;Speed control signs;Signs used to control traffic speed.;;
Situation;EquipmentOrSystemTypeEnum;streetLighting;Street lighting;Street or road lighting.;;
Situation;EquipmentOrSystemTypeEnum;temporaryTrafficLights;Temporary traffic lights;Temporary traffic lights.;;
Situation;EquipmentOrSystemTypeEnum;tollGates;Toll gates;Toll gates.;;
Situation;EquipmentOrSystemTypeEnum;trafficLightSets;Traffic light sets;Sets of traffic lights.;;
Situation;EquipmentOrSystemTypeEnum;trafficSignals;Traffic signals;Traffic signals.;;
Situation;EquipmentOrSystemTypeEnum;tunnelEmergencyPhones;Tunnel emergency phones;Tunnel emergency telephones;;
Situation;EquipmentOrSystemTypeEnum;tunnelFireFightingEquipment;Tunnel fire fighting equipment;Tunnel fire fighting equipment;;
Situation;EquipmentOrSystemTypeEnum;tunnelLights;Tunnel lights;Tunnel lights.;;
Situation;EquipmentOrSystemTypeEnum;tunnelMobileCommunication;Tunnel mobile communication;Tunnel mobile coverage communication equipment;;
Situation;EquipmentOrSystemTypeEnum;tunnelRadioCommunication;Tunnel radio communication;Tunnel radio communication equipment;;
Situation;EquipmentOrSystemTypeEnum;tunnelSafetySystem;Tunnel safety system;Any tunnel safety system;;
Situation;EquipmentOrSystemTypeEnum;tunnelVentilation;Tunnel ventilation;Tunnel ventilation system.;;
Situation;EquipmentOrSystemTypeEnum;variableMessageSigns;Variable message signs;Variable message signs.;;
Parking;EsporgStandardLevelEnum;bronze;Bronze;ESPORG Bronze Level;;
Parking;EsporgStandardLevelEnum;gold;Gold;ESPORG Gold Level;;
Parking;EsporgStandardLevelEnum;platinum;Platinum;ESPORG Platinum Level;;
Parking;EsporgStandardLevelEnum;silver;Silver;ESPORG Silver Level;;
Common;FuelTypeEnum;all;All;All sort of fuel is accepted.;;
Common;FuelTypeEnum;battery;Battery;Battery.;;
Common;FuelTypeEnum;biodiesel;Biodiesel;Biodiesel.;;
Common;FuelTypeEnum;diesel;Diesel;Fuel used for compression-ignition (CI) engines.;;
Common;FuelTypeEnum;dieselBatteryHybrid;Diesel battery hybrid;Diesel and battery hybrid.;;
Common;FuelTypeEnum;ethanol;Ethanol;Ethanol.;;
Common;FuelTypeEnum;hydrogen;Hydrogen;Hydrogen.;;
Common;FuelTypeEnum;liquidGas;Liquid gas;Liquid gas of any type including LPG.;;
Common;FuelTypeEnum;lpg;LPG;Liquid petroleum gas.;;
Common;FuelTypeEnum;methane;Methane;Methane gas.;;
Common;FuelTypeEnum;other;Other;Other.;;
Common;FuelTypeEnum;petrol;Petrol;Fuel used for positive-ignition (PI) engines.;;
Common;FuelTypeEnum;petrol95Octane;Petrol 95 octane;Petrol with 95 octane.;;
Common;FuelTypeEnum;petrol98Octane;Petrol 98 octane;Petrol with 98 octane.;;
Common;FuelTypeEnum;petrolBatteryHybrid;Petrol battery hybrid;Petrol and battery hybrid.;;
Common;FuelTypeEnum;petrolLeaded;Petrol leaded;Leaded petrol.;;
Common;FuelTypeEnum;petrolUnleaded;Petrol unleaded;Unleaded petrol.;;
Common;FuelTypeEnum;unknown;Unknown;The sort of fuel is not known.;;
Vms;GddServiceCategoryEnum;ambientConditions;Ambient conditions;Notifying of road-related ambient conditions and events on route (GDD service category 31).;;
Vms;GddServiceCategoryEnum;dangerWarning;Danger warning;Danger warning sign information (GDD service category 11).;;
Vms;GddServiceCategoryEnum;informative;Informative;Informative, advisory, or guiding (GDD service category 13).;;
Vms;GddServiceCategoryEnum;publicFacilities;Public facilities;Informing of a certain public facility and its service (GDD service category 21).;;
Vms;GddServiceCategoryEnum;regulatory;Regulatory;Informing of special obligations, restrictions or prohibitions (GDD service category 12).;;
Vms;GddServiceCategoryEnum;roadConditions;Road conditions;Notifying of road-related conditions and events on route (GDD service category 32).;;
Situation;GeneralInstructionToRoadUsersTypeEnum;allowEmergencyVehiclesToPass;Allow emergency vehicles to pass;Allow emergency vehicles to pass.;;
Situation;GeneralInstructionToRoadUsersTypeEnum;approachWithCare;Approach with care;Approach with care.;;
Situation;GeneralInstructionToRoadUsersTypeEnum;avoidTheArea;Avoid the area;Drivers are to avoid the area.;;
Situation;GeneralInstructionToRoadUsersTypeEnum;closeAllWindowsTurnOffHeaterAndVents;Close all windows turn off heater and vents;Close all windows and turn off heater and vents.;;
Situation;GeneralInstructionToRoadUsersTypeEnum;crossJunctionWithCare;Cross junction with care;Cross junction with care.;;
Situation;GeneralInstructionToRoadUsersTypeEnum;doNotAllowUnnecessaryGaps;Do not allow unnecessary gaps;Do not allow unnecessary gaps.;;
Situation;GeneralInstructionToRoadUsersTypeEnum;doNotLeaveYourVehicle;Do not leave your vehicle;Do not leave your vehicle.;;
Situation;GeneralInstructionToRoadUsersTypeEnum;doNotThrowOutAnyBurningObjects;Do not throw out any burning objects;Do not throw out any burning objects.;;
Situation;GeneralInstructionToRoadUsersTypeEnum;doNotUseNavigationSystems;Do not use navigation systems;Do not use navigation systems to determine routing.;;
Situation;GeneralInstructionToRoadUsersTypeEnum;driveCarefully;Drive carefully;Drive carefully.;;
Situation;GeneralInstructionToRoadUsersTypeEnum;driveWithExtremeCaution;Drive with extreme caution;Drive with extreme caution.;;
Situation;GeneralInstructionToRoadUsersTypeEnum;flashYourLights;Flash your lights;Flash your lights to warn oncoming traffic of hazard ahead.;;
Situation;GeneralInstructionToRoadUsersTypeEnum;followTheVehicleInFrontSmoothly;Follow the vehicle in front smoothly;Follow the vehicle in front, smoothly.;;
Situation;GeneralInstructionToRoadUsersTypeEnum;increaseNormalFollowingDistance;Increase normal following distance;Increase normal following distance.;;
Situation;GeneralInstructionToRoadUsersTypeEnum;inEmergencyWaitForPatrolService;In emergency wait for patrol service;In emergency, wait for patrol service (either road operator or police patrol service).;;
Situation;GeneralInstructionToRoadUsersTypeEnum;keepYourDistance;Keep your distance;Keep your distance.;;
Situation;GeneralInstructionToRoadUsersTypeEnum;leaveYourVehicleProceedToNextSafePlace;Leave your vehicle proceed to next safe place;Leave your vehicle and proceed to next safe place.;;
Situation;GeneralInstructionToRoadUsersTypeEnum;noNakedFlames;No naked flames;No naked flames.;;
Situation;GeneralInstructionToRoadUsersTypeEnum;noOvertaking;No overtaking;No overtaking on the specified section of road.;;
Situation;GeneralInstructionToRoadUsersTypeEnum;noSmoking;No smoking;No smoking.;;
Situation;GeneralInstructionToRoadUsersTypeEnum;noStopping;No stopping;No stopping.;;
Situation;GeneralInstructionToRoadUsersTypeEnum;noUturns;No U-turns;No U-turns.;;
Situation;GeneralInstructionToRoadUsersTypeEnum;observeAmberAlert;Observe amber alert;Observe current amber alert (an emergency alert issued for a missing or abducted child).;;
Situation;GeneralInstructionToRoadUsersTypeEnum;observeSignals;Observe signals;Observe signals.;;
Situation;GeneralInstructionToRoadUsersTypeEnum;observeSigns;Observe signs;Observe signs.;;
Situation;GeneralInstructionToRoadUsersTypeEnum;onlyTravelIfAbsolutelyNecessary;Only travel if absolutely necessary;Only travel if absolutely necessary.;;
Situation;GeneralInstructionToRoadUsersTypeEnum;other;Other;Other than as defined in this enumeration.;;
Situation;GeneralInstructionToRoadUsersTypeEnum;overtakeWithCare;Overtake with care;Overtake with care.;;
Situation;GeneralInstructionToRoadUsersTypeEnum;pullOverToTheEdgeOfTheRoadway;Pull over to the edge of the roadway;Pull over to the edge of the roadway.;;
Situation;GeneralInstructionToRoadUsersTypeEnum;stopAtNextSafePlace;Stop at next safe place;Stop at next safe place.;;
Situation;GeneralInstructionToRoadUsersTypeEnum;stopAtNextServiceArea;Stop at next service area;Stop at next rest service area or car park.;;
Situation;GeneralInstructionToRoadUsersTypeEnum;switchOffEngine;Switch off engine;Switch off engine.;;
Situation;GeneralInstructionToRoadUsersTypeEnum;switchOffMobilePhonesAndTwoWayRadios;Switch off mobile phones and two way radios;Switch off mobile phones and two-way radios.;;
Situation;GeneralInstructionToRoadUsersTypeEnum;testYourBrakes;Test your brakes;Test your brakes.;;
Situation;GeneralInstructionToRoadUsersTypeEnum;useBusService;Use bus service;Use bus service.;;
Situation;GeneralInstructionToRoadUsersTypeEnum;useFogLights;Use fog lights;Use fog lights.;;
Situation;GeneralInstructionToRoadUsersTypeEnum;useHazardWarningLights;Use hazard warning lights;Use hazard warning lights.;;
Situation;GeneralInstructionToRoadUsersTypeEnum;useHeadlights;Use headlights;Use headlights.;;
Situation;GeneralInstructionToRoadUsersTypeEnum;useRailService;Use rail service;Use rail service.;;
Situation;GeneralInstructionToRoadUsersTypeEnum;useTramService;Use tram service;Use tram service.;;
Situation;GeneralInstructionToRoadUsersTypeEnum;useUndergroundService;Use underground service;Use underground service.;;
Situation;GeneralInstructionToRoadUsersTypeEnum;waitForEscortVehicle;Wait for escort vehicle;Wait for escort vehicle.;;
Situation;GeneralNetworkManagementTypeEnum;bridgeSwingInOperation;Bridge swing in operation;The bridge at the specified location has swung or lifted and is therefore temporarily closed to traffic.;;
Situation;GeneralNetworkManagementTypeEnum;convoyService;Convoy service;A vehicle convoy service is in operation, for example with a snowplough running ahead due to bad weather conditions.;;
Situation;GeneralNetworkManagementTypeEnum;obstacleSignalling;Obstacle signalling;Signs are being put out before or around an obstacle to protect drivers.;;
Situation;GeneralNetworkManagementTypeEnum;other;Other;Other than as defined in this enumeration.;;
Situation;GeneralNetworkManagementTypeEnum;rampMeteringInOperation;Ramp metering in operation;Ramp metering is now active at the specified location.;;
Situation;GeneralNetworkManagementTypeEnum;temporaryTrafficLights;Temporary traffic lights;Traffic is being controlled by temporary traffic lights (red-yellow-green or red-green).;;
Situation;GeneralNetworkManagementTypeEnum;tollGatesOpen;Toll gates open;Toll gates are open with no fee collection at the specified location.;;
Situation;GeneralNetworkManagementTypeEnum;trafficBeingManuallyDirected;Traffic being manually directed;Traffic is being manually directed.;;
Situation;GeneralNetworkManagementTypeEnum;trafficHeld;Traffic held;Traffic in the specified direction is temporarily held up due to an unplanned event (e.g. for clearance of wreckage following an accident).;;
LocationReferencing;GeographicCharacteristicEnum;aroundABendInRoad;Around a bend in road;Around a bend in the road.;;
LocationReferencing;GeographicCharacteristicEnum;onBorder;On border;On border crossing.;;
LocationReferencing;GeographicCharacteristicEnum;onPass;On pass;On mountain pass.;;
LocationReferencing;GeographicCharacteristicEnum;overCrestOfHill;Over crest of hill;Over the crest of a hill.;;
LocationReferencing;HeightGradeEnum;aboveGrade;Above grade;Above or over the normal road grade elevation.;;
LocationReferencing;HeightGradeEnum;atGrade;At grade;At the normal road grade elevation.;;
LocationReferencing;HeightGradeEnum;belowGrade;Below grade;Below or under the normal road grade elevation.;;
LocationReferencing;HeightTypeEnum;ellipsoidalHeight;Ellipsoidal height;Value measured vertically above the reference ellipsoid;;
LocationReferencing;HeightTypeEnum;gravityRelatedHeight;Gravity related height;Height type corresponding a value measured along direction of gravity above the reference geoid i.e. equipotential surface of the Earth's gravity field which globally approximates mean sea level.;;
LocationReferencing;HeightTypeEnum;relativeHeight;Relative height;Height type corresponding to value masured vertically above the ground level at this point.;;
Parking;HierarchyElementTypeEnum;campus;Campus;Typically defines a large facility (such as a university campus, or an airport), or a large geographic zone (such as a city or a town), which may contain numerous places that can be logically reported together.;;
Parking;HierarchyElementTypeEnum;identifiedArea;Identified area;An identifiable discrete bounded geographic zone that shares common characteristics and is used for parking and mobility related operations  or other purposes.;;
Parking;HierarchyElementTypeEnum;place;Place;A place or location used for parking, loading, unloading, standing, or some other mobility or transport related activity.;;
Parking;HierarchyElementTypeEnum;space;Space;A single space for parking or other mobility related purposes, usually designed for one vehicle, which may, but not necessarily, be denoted by painted or other road surface marker.;;
Parking;HierarchyElementTypeEnum;subplaceElement;Subplace element;A sub-division of a place for the convenience of the operator to segment the place and identify varied uses for parking and mobility related operations or other purposes.;;
EnergyInfrastructure;HydrogenFuellingProcessProtocolEnum;mcMethod;MC method;Protocol according to the MC method.;;
EnergyInfrastructure;HydrogenFuellingProcessProtocolEnum;sae2601v2010;SAE 2601:2010;Protocol according to SAE 2601 standard, version from 2010.;;
EnergyInfrastructure;HydrogenFuellingProcessProtocolEnum;sae2601v2014;SAE 2601:2014;Protocol according to SAE 2601 standard, version from 2014.;;
EnergyInfrastructure;HydrogenFuellingProcessProtocolEnum;sae2601v2016;SAE 2601:2016;Protocol according to SAE 2601 standard, version from 2016.;;
EnergyInfrastructure;HydrogenFuellingProcessProtocolEnum;unknown;Unknown;The protocol is unknown.;;
Vms;ImageFormatEnum;bmp;BMP;The bmp image format;;
Vms;ImageFormatEnum;gif;GIF;The gif image format;;
Vms;ImageFormatEnum;jpeg;JPEG;The jpeg image format;;
Vms;ImageFormatEnum;png;PNG;The png image format;;
Vms;ImageFormatEnum;tiff;Tiff;The TIFF image format;;
Common;InformationDeliveryServicesEnum;anyGeneralDeliveryService;Any general delivery service;Includes any general delivery channel such as broadcast channels (e.g. radio, tv, RDS-TMC, TPEG services, etc.) or web publishing available to public or to specific users, depending on Service Provider policies.;;
Common;InformationDeliveryServicesEnum;safetyServices;Safety services;Specific services which deliver warning alerts to end users to enhance safety via any specific application available to drivers, including C-ITS services.;;
Common;InformationDeliveryServicesEnum;vms;VMS;Variable Message Signs or any other visual roadside devices which information are accessible to drivers which aim to affect driving style improving safety and road network LoS.;;
Common;InformationStatusEnum;real;Real;The information is real. It is not a test or exercise.;;
Common;InformationStatusEnum;securityExercise;Security exercise;The information is part of an exercise which is for testing security.;;
Common;InformationStatusEnum;technicalExercise;Technical exercise;The information is part of an exercise which includes tests of associated technical subsystems.;;
Common;InformationStatusEnum;test;Test;The information is part of a test for checking the exchange of this type of information.;;
Vms;InformationTypeEnum;blank;Blank;There is no information content;;
Vms;InformationTypeEnum;delay;Delay;Delay information;;
Vms;InformationTypeEnum;destination;Destination;The information is a destination;;
Vms;InformationTypeEnum;generalInformation;General information;General information;;
Vms;InformationTypeEnum;location;Location;Location information;;
Vms;InformationTypeEnum;obligation;Obligation;The information is an obligation;;
Vms;InformationTypeEnum;other;Other;Other kind of information;;
Vms;InformationTypeEnum;prohibition;Prohibition;The information is a prohibition;;
Vms;InformationTypeEnum;situationInformation;Situation information;Information about the situation;;
Vms;InformationTypeEnum;travelTime;Travel time;The information is travel time;;
Vms;InformationTypeEnum;vehicleType;Vehicle type;The information is about vehicle type;;
Vms;InformationTypeEnum;warning;Warning;The information is a warning;;
Situation;InfrastructureDamageTypeEnum;burstPipe;Burst pipe;The road surface has sunken or collapsed in places due to burst pipes.;;
Situation;InfrastructureDamageTypeEnum;burstWaterMain;Burst water main;Traffic may be disrupted due to local flooding and/or subsidence because of a broken water main.;;
Situation;InfrastructureDamageTypeEnum;collapsedSewer;Collapsed sewer;The road surface has sunken or collapsed in places due to sewer failure.;;
Situation;InfrastructureDamageTypeEnum;damagedBridge;Damaged bridge;Damage to a bridge that may cause traffic disruption.;;
Situation;InfrastructureDamageTypeEnum;damagedCrashBarrier;Damaged crash barrier;Damage to a crash barrier that may cause traffic disruption.;;
Situation;InfrastructureDamageTypeEnum;damagedFlyover;Damaged flyover;Damage to an elevated section of the carriageway over another carriageway that may cause traffic disruption.;;
Situation;InfrastructureDamageTypeEnum;damagedGallery;Damaged gallery;Damage to a gallery that may cause traffic disruption.;;
Situation;InfrastructureDamageTypeEnum;damagedGantry;Damaged gantry;Damage to a gantry above the roadway that may cause traffic disruption.;;
Situation;InfrastructureDamageTypeEnum;damagedRoadSurface;Damaged road surface;Damage to the road surface that may cause traffic disruption.;;
Situation;InfrastructureDamageTypeEnum;damagedTunnel;Damaged tunnel;Damage to a tunnel that may cause traffic disruption.;;
Situation;InfrastructureDamageTypeEnum;damagedViaduct;Damaged viaduct;Damage to a viaduct that may cause traffic disruption.;;
Situation;InfrastructureDamageTypeEnum;fallenPowerCables;Fallen power cables;The road is obstructed or partially obstructed by one or more fallen power cables.;;
Situation;InfrastructureDamageTypeEnum;gasLeak;Gas leak;Traffic may be disrupted due to an explosion hazard from gas escaping in or near the roadway.;;
Situation;InfrastructureDamageTypeEnum;other;Other;Other than as defined in this enumeration.;;
Situation;InfrastructureDamageTypeEnum;weakBridge;Weak bridge;Weak bridge capable of carrying a reduced load, typically with a reduced weight limit restriction imposed.;;
LocationReferencing;InfrastructureDescriptorEnum;atMotorwayInterchange;At motorway interchange;At a motorway interchange.;;
LocationReferencing;InfrastructureDescriptorEnum;atRestArea;At rest area;At rest area off the carriageway.;;
LocationReferencing;InfrastructureDescriptorEnum;atServiceArea;At service area;At service area.;;
LocationReferencing;InfrastructureDescriptorEnum;atTollPlaza;At toll plaza;At toll plaza.;;
LocationReferencing;InfrastructureDescriptorEnum;atTunnelEntryOrExit;At tunnel entry or exit;At entry or exit of tunnel.;;
LocationReferencing;InfrastructureDescriptorEnum;inGallery;In gallery;In gallery.;;
LocationReferencing;InfrastructureDescriptorEnum;inTunnel;In tunnel;In tunnel.;;
LocationReferencing;InfrastructureDescriptorEnum;onBridge;On bridge;On bridge.;;
LocationReferencing;InfrastructureDescriptorEnum;onConnector;On connector;On connecting carriageway between two different roads or road sections.;;
LocationReferencing;InfrastructureDescriptorEnum;onElevatedSection;On elevated section;On elevated section of road.;;
LocationReferencing;InfrastructureDescriptorEnum;onFlyover;On flyover;On flyover, i.e. on section of road over another road.;;
LocationReferencing;InfrastructureDescriptorEnum;onIceRoad;On ice road;On ice road.;;
LocationReferencing;InfrastructureDescriptorEnum;onLevelCrossing;On level crossing;On level-crossing.;;
LocationReferencing;InfrastructureDescriptorEnum;onLinkRoad;On link road;On road section linking two different roads.;;
LocationReferencing;InfrastructureDescriptorEnum;onRoundabout;On roundabout;On roundabout.;;
LocationReferencing;InfrastructureDescriptorEnum;onTheRoadway;On the roadway;On the roadway.;;
LocationReferencing;InfrastructureDescriptorEnum;onUndergroundSection;On underground section;On underground section of road.;;
LocationReferencing;InfrastructureDescriptorEnum;onUnderpass;On underpass;On underpass, i.e. section of road which passes under another road.;;
LocationReferencing;InfrastructureDescriptorEnum;withinJunction;Within junction;On the main carriageway within a junction between exit slip road and entry slip road.;;
Situation;InjuryStatusTypeEnum;dead;Dead;Dead.;;
Situation;InjuryStatusTypeEnum;injured;Injured;Injured requiring medical treatment.;;
Situation;InjuryStatusTypeEnum;seriouslyInjured;Seriously injured;Seriously injured requiring urgent hospital treatment.;;
Situation;InjuryStatusTypeEnum;slightlyInjured;Slightly injured;Slightly injured requiring medical treatment.;;
Situation;InjuryStatusTypeEnum;uninjured;Uninjured;Uninjured.;;
Situation;InjuryStatusTypeEnum;unknown;Unknown;Injury status unknown.;;
Common;InstanceOfDayEnum;fifthInstance;Fifth instance;Fifth instance of specified day of week in month.;;
Common;InstanceOfDayEnum;firstInstance;First instance;First instance of specified day of week in month.;;
Common;InstanceOfDayEnum;fourthInstance;Fourth instance;Fourth instance of specified day of week in month.;;
Common;InstanceOfDayEnum;lastInstance;Last instance;Last instance of specified day of week in month (regardless its actual instance number).;;
Common;InstanceOfDayEnum;secondInstance;Second instance;Second instance of specified day of week in month.;;
Common;InstanceOfDayEnum;thirdInstance;Third instance;Third instance of specified day of week in month.;;
Situation;InvolvementRolesEnum;cyclist;Cyclist;Cyclist.;;
Situation;InvolvementRolesEnum;motorcyclist;Motorcyclist;Motorcyclist;;
Situation;InvolvementRolesEnum;pedestrian;Pedestrian;Pedestrian.;;
Situation;InvolvementRolesEnum;unknown;Unknown;Involvement role is unknown.;;
Situation;InvolvementRolesEnum;vehicleDriver;Vehicle driver;Vehicle driver.;;
Situation;InvolvementRolesEnum;vehicleOccupant;Vehicle occupant;Vehicle occupant (driver or passenger not specified).;;
Situation;InvolvementRolesEnum;vehiclePassenger;Vehicle passenger;Vehicle passenger.;;
Situation;InvolvementRolesEnum;witness;Witness;Witness.;;
Parking;JunctionClassificationEnum;borderCrossing;Border crossing;Motorway crossing a border (between counties, countries, states, ...).;;
Parking;JunctionClassificationEnum;interchange;Interchange;Usually two crossing motorways (four legs, but can be even more).;;
Parking;JunctionClassificationEnum;junction;Junction;Entrance and exit on a motorway.;;
Parking;JunctionClassificationEnum;junctionInOneDirection;Junction in one direction;Entry and Exit on a motorway, where just one direction of the motorway is accessible.;;
Parking;JunctionClassificationEnum;motorwayConnection;Motorway connection;Beginning or end of a motorway (e.g. changeover to smaller road).;;
Parking;JunctionClassificationEnum;operationalServiceJunction;Operational service junction;Junction accessible only for operational services.;;
Parking;JunctionClassificationEnum;other;Other;Other.;;
Parking;JunctionClassificationEnum;temporarilyJunction;Temporarily junction;Entrance and exit on a motorway, reserved either for emergency and service or on a temporarily basis.;;
Parking;JunctionClassificationEnum;threeWayInterchange;Three way interchange;One motorway merging into another (with three legs in total).;;
LocationReferencing;LaneEnum;allLanesCompleteCarriageway;All lanes complete carriageway;In all lanes of the carriageway.;;
LocationReferencing;LaneEnum;busLane;Bus lane;In the bus lane.;;
LocationReferencing;LaneEnum;busStop;Bus stop;In the bus stop lane.;;
LocationReferencing;LaneEnum;carPoolLane;Car pool lane;In the carpool lane.;;
LocationReferencing;LaneEnum;centralReservation;Central reservation;On the central reservation separating the two directional carriageways of the highway.;;
LocationReferencing;LaneEnum;crawlerLane;Crawler lane;In the crawler lane - a lane that should be used by slower vehicles.;;
LocationReferencing;LaneEnum;cycleLane;Cycle lane;Part of a carriageway designated for cycles. A cycle lane is distinguished from the rest of the carriageway by longitudinal road markings.;;
LocationReferencing;LaneEnum;emergencyLane;Emergency lane;In the emergency lane.;;
LocationReferencing;LaneEnum;escapeLane;Escape lane;In the escape lane.;;
LocationReferencing;LaneEnum;expressLane;Express lane;In the express lane.;;
LocationReferencing;LaneEnum;hardShoulder;Hard shoulder;On the hard shoulder.;;
LocationReferencing;LaneEnum;heavyVehicleLane;Heavy vehicle lane;In the heavy vehicle lane.;;
LocationReferencing;LaneEnum;layBy;Lay by;In a lay-by.;;
LocationReferencing;LaneEnum;leftHandTurningLane;Left hand turning lane;In the left hand turning lane.;;
LocationReferencing;LaneEnum;leftLane;Left lane;In the left lane.;;
LocationReferencing;LaneEnum;localTrafficLane;Local traffic lane;In the local traffic lane.;;
LocationReferencing;LaneEnum;middleLane;Middle lane;In the middle lane.;;
LocationReferencing;LaneEnum;overtakingLane;Overtaking lane;In the overtaking lane.;;
LocationReferencing;LaneEnum;rightHandTurningLane;Right hand turning lane;In the right hand turning lane.;;
LocationReferencing;LaneEnum;rightLane;Right lane;In the right lane.;;
LocationReferencing;LaneEnum;rushHourLane;Rush hour lane;In the lane dedicated for use during the rush (peak) hour.;;
LocationReferencing;LaneEnum;setDownArea;Set down area;In the area/lane reserved for passenger pick-up or set-down.;;
LocationReferencing;LaneEnum;slowVehicleLane;Slow vehicle lane;In a lane dedicated to vehicles that are not permitted to exceed a fixed slow speed.;;
LocationReferencing;LaneEnum;throughTrafficLane;Through traffic lane;In the through traffic lane.;;
LocationReferencing;LaneEnum;tidalFlowLane;Tidal flow lane;In the lane dedicated for use as a tidal flow lane.;;
