Namespace;Enumeration name;Definition
Situation;NonWeatherRelatedRoadConditionTypeEnum;Types of road surface conditions which are not related to the weather.
LocationReferencing;NutsCodeTypeEnum;Types of NUTS codes (Nomenclature of territorial units for statistics) including LAU codes (Local Administrative Units).
Situation;ObstructionTypeEnum;Types of obstructions on the roadway.
LocationReferencing;OpenlrFormOfWayEnum;Enumeration of for of way
LocationReferencing;OpenlrFunctionalRoadClassEnum;Enumeration of functional road class
LocationReferencing;OpenlrOrientationEnum;Enumeration of orientation
LocationReferencing;OpenlrSideOfRoadEnum;Enumeration of side of road
Parking;OperatingRestrictionsEnum;Defines operating restrictions to use the of a facility. 
Facilities;OperationStatusEnum;Specifies whether some scenario or equipment is in operation or not.
Situation;OperatorActionOriginEnum;Origins of operator actions.
Situation;OperatorActionStatusEnum;List of statuses associated with operator actions.
EnergyInfrastructure;OrganicGasTypeEnum;A table of types of organic gases
Facilities;OrganisationTypeEnum;Type of organisation.
Parking;ParkingConditionsEnum;Defines if normal parking conditions are suspended or special parking conditions are in force.
Parking;ParkingFaultEnum;Types of parking site or access faults.
Parking;ParkingModeEnum;The arrangement of the parking space or the group of parking spaces in relation to the road.
Parking;ParkingOccupancyEnum;Parking Occupancy enum.
Parking;ParkingOccupancyTrendEnum;List of terms used to describe the trend in parking space occupancy.
Parking;ParkingPlaceStatusEnum;The status of the parking place or sub-places (spaces available or not).
Parking;ParkingRouteOrientationEnum;Orientation of traffic for a parking route.
Parking;ParkingRouteTypeEnum;The type of the parking route.
Parking;ParkingSafetyEnum;Safety requirements for truck parking sites according to European Secure Parking Organisation.
Parking;ParkingSecurityEnum;Specifies security measures related to the parking site or particular spaces.
Parking;ParkingSpaceConvenienceEnum;Facilities for persons with disabilities.
Parking;ParkingSpaceOccupancyDetectionEnum;A list of supported methods for detection of occupancy by a vehicle in a parking space.
Parking;ParkingStructuralCharacteristicsEnum;Specifies some structural characteristics of a parking space or a group of parking spaces.
